,n_voxels,n_actuators,actuator_fraction,h_actuator_fraction,aspect_ratio,compactness,h_symmetry,modularity,settle_com_y_drift,settle_com_x_drift,settle_max_speed_tail,settle_mean_speed_tail,rand_dx_mean,rand_dx_max,rand_dx_std,rand_mean_speed,sin_best_dx,sin_best_dx_short,sin_best_freq,sin_best_pattern_id,sin_dx_mean,sin_dx_std,sin_dx_range,eff_raw,eff_raw_log,eff_dev,eff_dev_log,ko_frac_mean,ko_frac_min,ko_dx_delta_mean,ko_dx_delta_worst,nbr_feasible_fraction,nbr_n_feasible,nbr_dx_mean,nbr_dx_max,nbr_dx_std,nbr_dx_mean_minus_self,nbr_dx_max_minus_self
sin_dx_mean,0.010678014791448441,0.02950147001298739,0.023907455155163005,0.13741556803165678,-0.026537859020499485,0.004210967558328767,-0.0022806091564798784,0.005464359608679925,-0.0068646307515824526,0.06479707428051831,-0.02712257760070823,-0.06707646969101073,0.5830987863855177,0.5750987641632338,-0.1876971324920347,-0.09855582932174811,0.7063069064080734,0.6708438078994664,0.19666306004993356,0.03714651454755383,1.0,0.226025294514707,0.24234589540526502,0.72116505879183,0.72116505879183,0.721252170144917,0.721252170144917,0.2544817048039786,0.46906433569382744,-0.34839641221225615,-0.3381981616615602,-0.010593686932546286,-0.010593686932546286,0.7048978469384637,0.5570432695646377,0.07630543418176161,-0.1822658396273323,-0.1181831616198934
sin_dx_std,0.08247085970027754,0.36486354576211244,0.34583917418803306,0.045391731517457796,0.00022864182663211047,0.06648987942083022,-0.04458497861510705,-0.07087396563703045,0.15710881061687537,-0.05044200543129349,-0.10864194972557877,-0.05783085990496049,0.060709668637968436,0.24438845663460176,0.428876024655624,0.38700046389017745,0.7532916480323556,0.7053874594096095,0.17941323857474983,0.0643390286001333,0.226025294514707,1.0,0.95366448240134,0.6393231647865688,0.6393231647865688,0.63951227642299,0.63951227642299,0.000817798638145349,0.07545249430182105,-0.5680016333378703,-0.6891049697360271,0.2735676209477744,0.2735676209477744,0.48781307725854794,0.4427833410648363,0.20995447209575582,-0.4935252597923883,-0.2987334409262248
sin_dx_range,0.0726261387093747,0.39828349736420476,0.38965739492021473,0.05859603822595891,0.015807305728380627,0.056019634745963845,-0.012079420637541468,-0.04981820088449889,0.154890498714483,-0.034917433235989656,-0.12426057774554232,-0.05367493134772043,0.08298689718582551,0.2619551165419904,0.40903024730624254,0.38269711860310723,0.7812108922524785,0.7262575729377027,0.21183533905022287,0.03058388344142686,0.24234589540526502,0.95366448240134,1.0,0.6625740627057297,0.6625740627057297,0.6624782846619018,0.6624782846619018,-0.026170408405168055,0.06283492310094249,-0.5866951852644036,-0.7055450709585305,0.29908982263773604,0.29908982263773604,0.49364437123436455,0.4629507304186956,0.2282076339100942,-0.5203612232256201,-0.3007192242200673
eff_raw,-0.06715002032250254,-0.05110007072538619,-0.005013739364669892,0.1531848247440852,-0.012944763470334675,-0.06071837991955776,-0.054089185912622385,0.0018360297684565175,0.03331106752888777,0.020938476573974716,-0.11115584580700368,-0.0755040215809509,0.41279125775349373,0.4728113689204692,0.0520056444601235,-0.02852857924605346,0.9368508801413338,0.8783432731757588,0.24431724479139216,0.007430945246950588,0.72116505879183,0.6393231647865688,0.6625740627057297,1.0,1.0,0.9999227220075612,0.9999227220075612,-0.0618910307542981,0.26883253200639584,-0.6947520965336015,-0.6829566748796524,-0.056731705860607315,-0.056731705860607315,0.6893929705360292,0.6049023469509638,0.23133842038450106,-0.501910616418379,-0.28733418703940844
eff_raw_log,-0.06715002032250254,-0.05110007072538619,-0.005013739364669892,0.1531848247440852,-0.012944763470334675,-0.06071837991955776,-0.054089185912622385,0.0018360297684565175,0.03331106752888777,0.020938476573974716,-0.11115584580700368,-0.0755040215809509,0.41279125775349373,0.4728113689204692,0.0520056444601235,-0.02852857924605346,0.9368508801413338,0.8783432731757588,0.24431724479139216,0.007430945246950588,0.72116505879183,0.6393231647865688,0.6625740627057297,1.0,1.0,0.9999227220075612,0.9999227220075612,-0.0618910307542981,0.26883253200639584,-0.6947520965336015,-0.6829566748796524,-0.056731705860607315,-0.056731705860607315,0.6893929705360292,0.6049023469509638,0.23133842038450106,-0.501910616418379,-0.28733418703940844
eff_dev,-0.0676806830703973,-0.05099891450686463,-0.004726388734504777,0.15314811870206715,-0.012519013078874614,-0.06144464152340756,-0.053962639954439784,0.0020905770208815666,0.03273414921159369,0.02081478177562571,-0.11194832029658347,-0.07633582951640139,0.4133673149092081,0.4736775379931611,0.05215520043111231,-0.028048689024136177,0.9368829357859327,0.8785885516348656,0.2441480339764421,0.011950531547692806,0.721252170144917,0.63951227642299,0.6624782846619018,0.9999227220075612,0.9999227220075612,1.0,1.0,-0.0637631602320891,0.26870516032112146,-0.6953229870082972,-0.6829313414759486,-0.056592056147171124,-0.056592056147171124,0.6892438590107195,0.6045880683001897,0.23139230942308173,-0.5023397842771785,-0.28771396587212744
eff_dev_log,-0.0676806830703973,-0.05099891450686463,-0.004726388734504777,0.15314811870206715,-0.012519013078874614,-0.06144464152340756,-0.053962639954439784,0.0020905770208815666,0.03273414921159369,0.02081478177562571,-0.11194832029658347,-0.07633582951640139,0.4133673149092081,0.4736775379931611,0.05215520043111231,-0.028048689024136177,0.9368829357859327,0.8785885516348656,0.2441480339764421,0.011950531547692806,0.721252170144917,0.63951227642299,0.6624782846619018,0.9999227220075612,0.9999227220075612,1.0,1.0,-0.0637631602320891,0.26870516032112146,-0.6953229870082972,-0.6829313414759486,-0.056592056147171124,-0.056592056147171124,0.6892438590107195,0.6045880683001897,0.23139230942308173,-0.5023397842771785,-0.28771396587212744
ko_frac_mean,0.016023144592263984,0.24034395593655136,0.21659966036032463,-0.07299453003923126,-0.06906214841617135,0.017157922319515594,-0.04091425023658006,-0.04339532056180163,-0.06932071586728718,0.05121721443419572,-0.03939539551308719,-0.0750967455146476,0.3873910764419678,0.4211724755326021,-0.04556423846109445,0.13185173935834063,0.04686830726225212,0.019680842340052154,0.06505981125162646,0.15999257694162541,0.2544817048039786,0.000817798638145349,-0.026170408405168055,-0.0618910307542981,-0.0618910307542981,-0.0637631602320891,-0.0637631602320891,1.0,0.6481831110683226,0.6995625698494181,0.42343971283009874,0.11218916949694997,0.11218916949694997,0.42875375325804205,0.31105017528516454,-0.010420196633766575,0.40666477668101336,0.2998628730920073
ko_frac_min,-0.028565693649391287,0.04073449019942907,0.04046065988285992,-0.021963197768208226,-0.03119243942142944,-0.04216039856713052,-0.023123374957243245,0.01059947969515384,-0.08684385603547544,0.030323090667882625,-0.0494173437015603,-0.058824105754293726,0.4469497995812922,0.425785545699278,-0.19253423007543685,-0.07267300131354713,0.29598346809243437,0.2553480665595864,-0.039011303751118255,0.07961227812411062,0.46906433569382744,0.07545249430182105,0.06283492310094249,0.26883253200639584,0.26883253200639584,0.26870516032112146,0.26870516032112146,0.6481831110683226,1.0,0.2923624273976069,0.42073934790383055,-0.026254160816799293,-0.026254160816799293,0.42891967724270547,0.2562702333010502,-0.10154654359466325,0.10378172497471204,0.008104396218807515
ko_dx_delta_mean,-0.03434504779435182,-0.015415647168369538,-0.02215107294365333,-0.12230299443195046,-0.05106765527790025,-0.03001801440928377,0.03944700870621932,0.006987741693294495,-0.1396374550738303,0.006756241552580021,0.036882605525232606,-0.01771405068186729,-0.00019400053889038582,-0.07260720168667135,-0.17046914019205608,-0.07214808930024806,-0.6820298389717749,-0.6473788538301495,-0.09460652256317592,0.07611860775068094,-0.34839641221225615,-0.5680016333378703,-0.5866951852644036,-0.6947520965336015,-0.6947520965336015,-0.6953229870082972,-0.6953229870082972,0.6995625698494181,0.2923624273976069,1.0,0.8446086239128442,-0.03519181266216487,-0.03519181266216487,-0.26237450659585165,-0.2594668874080206,-0.1664819624498957,0.6800665557404326,0.4431622310061972
